COSING Ref No;INCI name;Function
91334;ANGELICA GIGAS SPROUT EXTRACT;SKIN CONDITIONING
91852;ANGELICA GLAUCA ROOT EXTRACT;SKIN CONDITIONING
83702;ANGELICA JAPONICA EXTRACT;SKIN CONDITIONING
93099;ANGELICA KEISKEI CALLUS EXTRACT;ANTIMICROBIAL, ANTIOXIDANT, HAIR CONDITIONING, SKIN CONDITIONING
82322;ANGELICA KEISKEI EXTRACT;ANTIOXIDANT, ASTRINGENT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SKIN PROTECTING
54473;ANGELICA KEISKEI LEAF/STEM EXTRACT;SKIN CONDITIONING
83973;ANGELICA KEISKEI ROOT EXTRACT;SKIN CONDITIONING
85871;ANGELICA KOREANA ROOT EXTRACT;SKIN CONDITIONING
54474;ANGELICA POLYMORPHA SINENSIS ROOT EXTRACT;SKIN CONDITIONING
54475;ANGELICA PUBESCENS ROOT EXTRACT;SKIN CONDITIONING
95703;ANGELICA SHIKOKIANA LEAF/ROOT EXTRACT;ANTIOXIDANT
87242;ANGELICA SINENSIS LEAF/ARCTIUM LAPPA ROOT/JASMINUM OFFICINALE FLOWER EXTRACT;SKIN CONDITIONING
98283;ANGELICA SINENSIS ROOT OIL;FLAVOURING, FRAGRANCE, HAIR CONDITIONING, PERFUMING, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT
54476;ANGELICA TENUISSIMA ROOT EXTRACT;SKIN CONDITIONING
91389;ANGELICA UTILIS LEAF EXTRACT;ANTIOXIDANT
96298;ANGELONIA ANGUSTIFOLIA FLOWER/LEAF/STEM EXTRACT;HUMECTANT, SKIN CONDITIONING
84183;ANGOROSIDE C;ANTIOXIDANT, SKIN CONDITIONING
91742;ANHYDROGALACTOSE;ANTIOXIDANT, HUMECTANT, SKIN CONDITIONING
92291;ANHYDROGLUCITOL;ANTIPLAQUE, HUMECTANT, SKIN CONDITIONING
96747;ANHYDROGLUCITYL GALLATE;ANTIMICROBIAL, ANTIOXIDANT, ASTRINGENT, SKIN CONDITIONING
54477;ANHYDROXYLITOL;HUMECTANT, SKIN CONDITIONING
90967;ANHYDROXYLITYL LACTATE;ANTIMICROBIAL, PRESERVATIVE, SOLVENT, SURFACTANT - CLEANSING
82504;ANIBA FERREA WOOD OIL ;FRAGRANCE
39061;ANIBA ROSAEODORA AMAZONICA WOOD EXTRACT;PERFUMING
39062;ANIBA ROSAEODORA AMAZONICA WOOD OIL;PERFUMING
39063;ANIBA ROSAEODORA ROOT EXTRACT ACETYLATED;PERFUMING
39064;ANIBA ROSAEODORA WOOD EXTRACT;FRAGRANCE, PERFUMING
74307;ANIBA ROSAEODORA WOOD OIL;ASTRINGENT, FRAGRANCE, PERFUMING, SKIN CONDITIONING, TONIC
93754;ANIBA ROSODORA WOOD EXTRACT;FRAGRANCE
93749;ANIBA ROSODORA WOOD OIL;ASTRINGENT, FRAGRANCE, SKIN CONDITIONING
85011;ANIGOZANTHOS FLAVIDUS EXTRACT;SKIN CONDITIONING
95546;ANIGOZANTHOS FLAVIDUS FLOWER EXTRACT;ANTI-SEBUM, HAIR CONDITIONING, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT
54478;ANIGOZANTHOS FLAVIDUS FLOWER/LEAF EXTRACT;SKIN CONDITIONING
82754;ANIGOZANTHOS MANGLESII FLOWER EXTRACT;HAIR CONDITIONING, SKIN CONDITIONING
96834;ANILINE;NOT REPORTED
54479;ANISALDEHYDE;FRAGRANCE, PERFUMING
74308;ANISE ALCOHOL;PERFUMING
39069;ANISOLE;PERFUMING
39071;ANISYL ACETATE;PERFUMING
91120;ANNONA ATEMOYA FRUIT EXTRACT;HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING
89185;ANNONA ATEMOYA FRUIT WATER;
86851;ANNONA ATEMOYA PEEL EXTRACT;SKIN CONDITIONING
92525;ANNONA CHERIMOLA FRUIT EXTRACT;SKIN CONDITIONING
96056;ANNONA MURICATA BARK EXTRACT;SKIN CONDITIONING
93815;ANNONA MURICATA FRUIT;SKIN CONDITIONING
90021;ANNONA MURICATA FRUIT EXTRACT;SKIN CONDITIONING
92226;ANNONA MURICATA LEAF EXTRACT;ANTIOXIDANT
93595;ANNONA MURICATA LEAF/STEM EXTRACT;SKIN CONDITIONING
94022;ANNONA MURICATA SEEDCAKE POWDER;ABRASIVE, SKIN CONDITIONING
93758;ANNONA RETICULATA JUICE;SKIN CONDITIONING
97129;ANNONA SQUAMOSA FLOWER EXTRACT;SKIN CONDITIONING
91121;ANNONA SQUAMOSA FRUIT EXTRACT;SKIN CONDITIONING, SKIN PROTECTING
92870;ANNONA SQUAMOSA SEED EXTRACT;SKIN PROTECTING
86805;ANOECTOCHILUS FORMOSANUS CELL CULTURE EXTRACT;SKIN CONDITIONING
83844;ANOECTOCHILUS FORMOSANUS EXTRACT;SKIN CONDITIONING
96042;ANOECTOCHILUS FORMOSANUS SHOOT;HUMECTANT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT
93781;ANOGEISSUS LEIOCARPA BARK EXTRACT;SKIN CONDITIONING, SKIN PROTECTING
54480;ANOGEISSUS LEIOCARPUS BARK EXTRACT;SKIN PROTECTING
54482;ANONA MURICATA FRUIT EXTRACT;SKIN CONDITIONING
54483;ANONA RETICULATA JUICE;SKIN CONDITIONING
96603;ANREDERA CORDIFOLIA LEAF EXTRACT;HUMECTANT, SKIN CONDITIONING
54484;ANSERINE;ANTIOXIDANT, HUMECTANT, SKIN CONDITIONING
95217;ANT EGG OIL EXTRACT;HAIR CONDITIONING
94461;ANTENNARIA DIOICA CALLUS EXTRACT;SKIN CONDITIONING
94331;ANTENNARIA DIOICA EXTRACT;SKIN CONDITIONING
95853;ANTENNARIA MICROPHYLLA FLOWER EXTRACT;FRAGRANCE
74309;ANTHEMIS NOBILIS FLOWER EXTRACT;FRAGRANCE, PERFUMING, SKIN CONDITIONING
74310;ANTHEMIS NOBILIS FLOWER OIL;FRAGRANCE, PERFUMING, SKIN CONDITIONING
54485;ANTHEMIS NOBILIS FLOWER POWDER;SKIN CONDITIONING
54548;ANTHEMIS NOBILIS FLOWER WATER;FRAGRANCE, SKIN CONDITIONING
96784;ANTHEMIS NOBILIS FLOWER/LEAF/STEM OIL;FRAGRANCE, SKIN CONDITIONING
96901;ANTHEMIS NOBILIS FLOWER/LEAF/STEM WATER;SKIN CONDITIONING
31949;ANTHOCYANINS;COLORANT
39084;ANTHOXANTHUM ODORATUM EXTRACT;PERFUMING
91617;ANTHRACITE EXTRACT;ABRASIVE, SKIN CONDITIONING
97345;ANTHRAQUINONE;NOT REPORTED
31950;ANTHRISCUS CEREFOLIUM EXTRACT;SKIN CONDITIONING
96444;ANTHRISCUS CEREFOLIUM LEAF OIL;FRAGRANCE, SKIN CONDITIONING
31951;ANTHRISCUS SYLVESTRIS EXTRACT;SKIN CONDITIONING
96152;ANTHURIUM ANDRAEANUM FLOWER EXTRACT;SKIN CONDITIONING
84050;ANTHYLLIS VULNERARIA EXTRACT;SKIN CONDITIONING
54549;ANTHYLLIS VULNERARIA FLOWER EXTRACT;SKIN CONDITIONING
91756;ANTI-COLLAGENASE-1 MOUSE MONOCLONAL ANTIBODY;SKIN CONDITIONING
95428;ANTI-IMMUNOGLOBULIN SUPERFAMILY DCC SUBCLASS MEMBER 4 MOUSE MONOCLONAL ANTIBODY;HAIR CONDITIONING
93126;ANTIDESMA VELUTINOSUM FRUIT EXTRACT;ANTIOXIDANT, HUMECTANT, SKIN CONDITIONING
84520;ANTIMONY POTASSIUM TARTRATE;NOT REPORTED
97147;ANTIRRHINUM MAJUS FLOWER EXTRACT;HUMECTANT, SKIN CONDITIONING
90262;ANTLER VELVET;HUMECTANT, SKIN CONDITIONING
94401;ANTRODIA CINNAMOMEA EXTRACT;ANTIMICROBIAL, ANTIOXIDANT, ASTRINGENT, SKIN PROTECTING
96306;ANTRODIA CINNAMOMEA FERMENT EXTRACT;ANTIOXIDANT, SKIN CONDITIONING
95424;ANTRODIA CINNAMOMEA FERMENT FILTRATE POWDER;ANTIOXIDANT, BLEACHING, SKIN CONDITIONING, SKIN PROTECTING
96824;ANTRODIA CINNAMOMEA FRUITING BODY EXTRACT;ANTIOXIDANT
31953;AORTA EXTRACT;SKIN CONDITIONING
94070;APHANIZOMENON FLOS-AQUAE EXTRACT;HUMECTANT, SKIN CONDITIONING
82472;APHANIZOMENON FLOS-AQUAE POWDER;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SURFACTANT - CLEANSING, SURFACTANT - FOAM BOOSTING
92889;APHANOTHECE SACRUM EXOPOLYSACCHARIDES;ABSORBENT, EMULSION STABILISING, FILM FORMING, VISCOSITY CONTROLLING
85732;APHANOTHECE SACRUM POLYSACCHARIDE;ABSORBENT, EMULSION STABILISING, FILM FORMING, VISCOSITY CONTROLLING
89657;APHANOTHECE SACRUM POWDER;ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING
54550;APHLOIA THEIFORMIS LEAF EXTRACT;ASTRINGENT, SKIN PROTECTING
85203;APIGENIN;ANTIOXIDANT, HAIR CONDITIONING
84195;APIOS AMERICANA ROOT EXTRACT;HUMECTANT, SKIN CONDITIONING - EMOLLIENT
91304;APIUM GRAVEOLENS CALLUS EXTRACT;ANTIOXIDANT, SKIN PROTECTING
82315;APIUM GRAVEOLENS EXTRACT;SKIN CONDITIONING
39085;APIUM GRAVEOLENS LEAF EXTRACT;PERFUMING
39086;APIUM GRAVEOLENS LEAF OIL;PERFUMING
39183;APIUM GRAVEOLENS RAPACCUM LEAF EXTRACT;PERFUMING
39184;APIUM GRAVEOLENS RAPACCUM LEAF OIL;PERFUMING
39186;APIUM GRAVEOLENS RAPACCUM SEED OIL;PERFUMING
82778;APIUM GRAVEOLENS ROOT EXTRACT;SKIN CONDITIONING
54551;APIUM GRAVEOLENS ROOT/SEED EXTRACT;FRAGRANCE, TONIC
39187;APIUM GRAVEOLENS SEED EXTRACT;ANTIOXIDANT, PERFUMING
39188;APIUM GRAVEOLENS SEED OIL;PERFUMING
83846;APIUM GRAVEOLENS STEM EXTRACT;HUMECTANT
83133;APO-LACTOFERRIN;ANTIOXIDANT, HAIR CONDITIONING, SKIN CONDITIONING - EMOLLIENT
84593;APOCYNUM CANNABINUM ROOT EXTRACT;SKIN CONDITIONING
54552;APOCYNUM VENETUM LEAF/STEM EXTRACT;HUMECTANT, SKIN CONDITIONING
54553;APRICOT KERNEL AMINO ACIDS;SKIN CONDITIONING
54554;APRICOT KERNEL OIL PEG-40 ESTERS;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING
74347;APRICOT KERNEL OIL PEG-6 ESTERS;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING
54555;APRICOT KERNEL OIL PEG-8 ESTERS;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING
54556;APRICOT KERNEL OIL POLYGLYCERYL-10 ESTERS;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING
88302;APRICOT KERNEL OIL POLYGLYCERYL-3 ESTERS;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING
88316;APRICOT KERNEL OIL POLYGLYCERYL-4 ESTERS ;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING
88317;APRICOT KERNEL OIL POLYGLYCERYL-5 ESTERS ;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING
54557;APRICOT KERNEL OIL POLYGLYCERYL-6 ESTERS;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING
83655;APRICOT KERNEL OIL PROPYLENE GLYCOL ESTERS;SKIN CONDITIONING
31956;APRICOTAMIDE DEA;SURFACTANT - CLEANSING, SURFACTANT - FOAM BOOSTING, VISCOSITY CONTROLLING
74349;APRICOTAMIDOPROPYL BETAINE;ANTISTATIC, CLEANSING, HAIR CONDITIONING, SKIN CONDITIONING, SURFACTANT - CLEANSING, SURFACTANT - FOAM BOOSTING, VISCOSITY CONTROLLING
74350;APRICOTAMIDOPROPYL ETHYLDIMONIUM ETHOSULFATE;ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING
31959;AQUA;SOLVENT
85898;AQUAMARINE EXTRACT;SKIN CONDITIONING
54558;AQUAMARINE POWDER;BINDING, SKIN PROTECTING
90775;AQUAPHILUS DOLOMIAE EXTRACT;SKIN CONDITIONING, SKIN PROTECTING
96286;AQUAPHILUS DOLOMIAE EXTRACT FILTRATE;SKIN PROTECTING
95696;AQUAPHILUS DOLOMIAE FERMENT FILTRATE;SKIN CONDITIONING, SKIN PROTECTING
89300;AQUILARIA AGALLOCHA OIL;SKIN CONDITIONING, SKIN PROTECTING
54559;AQUILARIA AGALLOCHA STEM EXTRACT;SKIN CONDITIONING
94335;AQUILARIA AGALLOCHA WOOD EXTRACT;HAIR CONDITIONING, SKIN CONDITIONING
88609;AQUILARIA AGALLOCHA WOOD OIL ;FRAGRANCE
97344;AQUILARIA AGALLOCHA WOOD POWDER;FRAGRANCE
96857;AQUILARIA CRASSNA STEM EXTRACT;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT
98075;AQUILARIA CRASSNA STEM OIL;FRAGRANCE, PERFUMING
90306;AQUILARIA MALACCENSIS STEM EXTRACT;ANTIOXIDANT
94260;AQUILARIA MALACCENSIS WOOD OIL;ANTIOXIDANT, FRAGRANCE, SKIN CONDITIONING, SKIN PROTECTING
96496;AQUILARIA SINENSIS LEAF EXTRACT;ANTIOXIDANT, SKIN PROTECTING
95141;AQUILEGIA SIBIRICA FLOWER/LEAF/STEM EXTRACT;HAIR CONDITIONING, HUMECTANT, SKIN CONDITIONING
39189;AR-ETHYLPHENYLBUTYRALDEHYDE;PERFUMING
39190;AR-ISOPROPYLPHENYLACETALDEHYDE;PERFUMING
54560;ARABIDOPSIS THALIANA EXTRACT;ANTIOXIDANT
93636;ARABINOSE;HUMECTANT, SKIN CONDITIONING
54561;ARABINOXYLAN;FILM FORMING
74352;ARACHIDETH-20;SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING
94678;ARACHIDETH-22;SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING
94677;ARACHIDETH-27;SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING
94679;ARACHIDETH-32;SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING
94680;ARACHIDETH-37;SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING
94681;ARACHIDETH-42;SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING
74353;ARACHIDIC ACID;CLEANSING, OPACIFYING, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING
74354;ARACHIDONIC ACID;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT
74355;ARACHIDYL ALCOHOL;EMULSION STABILISING, SKIN CONDITIONING - EMOLLIENT, VISCOSITY CONTROLLING
74356;ARACHIDYL BEHENATE;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, VISCOSITY CONTROLLING
54562;ARACHIDYL ERUCATE;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT
54563;ARACHIDYL GLUCOSIDE;SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING
74357;ARACHIDYL GLYCOL;HUMECTANT, VISCOSITY CONTROLLING
74358;ARACHIDYL GLYCOL ISOSTEARATE;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT
74359;ARACHIDYL PROPIONATE;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT
98376;ARACHIDYL/BEHENYL ALCOHOL;SURFACTANT - CLEANSING, SURFACTANT - DISPERSING, SURFACTANT - EMULSIFYING, SURFACTANT - FOAM BOOSTING, SURFACTANT - HYDROTROPE
98375;ARACHIDYL/BEHENYL BETAINATE ESYLATE;CLEANSING, SURFACTANT - CLEANSING, SURFACTANT - DISPERSING, SURFACTANT - EMULSIFYING, SURFACTANT - FOAM BOOSTING, SURFACTANT - HYDROTROPE
98377;ARACHIDYL/BEHENYL BETAINATE MESYLATE;CLEANSING, SURFACTANT - CLEANSING, SURFACTANT - DISPERSING, SURFACTANT - EMULSIFYING, SURFACTANT - FOAM BOOSTING, SURFACTANT - HYDROTROPE
89896;ARACHIS HYPOGAEA  (PEANUT) SPROUT EXTRACT;HUMECTANT, SKIN PROTECTING
74360;ARACHIS HYPOGAEA FLOUR;ABRASIVE, HAIR CONDITIONING, SKIN CONDITIONING, VISCOSITY CONTROLLING
84920;ARACHIS HYPOGAEA FRUIT EXTRACT;HAIR CONDITIONING, SKIN CONDITIONING
31969;ARACHIS HYPOGAEA OIL;SKIN CONDITIONING
54564;ARACHIS HYPOGAEA SEEDCOAT EXTRACT;SKIN CONDITIONING
91223;ARACHIS HYPOGAEA SPROUT EXTRACT;HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING
95832;ARALIA CONTINENTALIS CALLUS CULTURE EXTRACT;ANTIMICROBIAL, ASTRINGENT, SKIN CONDITIONING, SKIN PROTECTING
54565;ARALIA CORDATA EXTRACT;SKIN CONDITIONING
83709;ARALIA ELATA BRANCH/LEAF EXTRACT;SKIN CONDITIONING
96173;ARALIA ELATA CALLUS CONDITIONED MEDIA EXTRACT;ANTIOXIDANT, SKIN PROTECTING
96095;ARALIA ELATA CALLUS EXTRACT;ANTIOXIDANT, SKIN PROTECTING
88195;ARALIA ELATA LEAF EXTRACT;SKIN CONDITIONING
54566;ARALIA ELATA ROOT EXTRACT;SKIN CONDITIONING
54567;ARALIA NUDICAULIS ROOT EXTRACT;SKIN CONDITIONING
88630;ARALIA RACEMOSA EXTRACT;SKIN CONDITIONING
89186;ARAUCARIA ANGUSTIFOLIA NUT SHELL POWDER ;
82192;ARAUCARIA ANGUSTIFOLIA SEED EXTRACT;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT
88005;ARAUCARIA ANGUSTIFOLIA SEED POWDER;ABRASIVE
90168;ARAUCARIA ANGUSTIFOLIA SEEDCOAT EXTRACT;HUMECTANT
85326;ARAUCARIA BIDWILLII SEED EXTRACT;SKIN CONDITIONING
86615;ARAUCARIA HETEROPHYLLA LEAF EXTRACT;SKIN CONDITIONING
74362;ARBUTIN;ANTIOXIDANT, BLEACHING, SKIN CONDITIONING - MISCELLANEOUS
86953;ARBUTINYL UNDECYLENATE;ANTIMICROBIAL, ANTIOXIDANT, BLEACHING
83830;ARBUTUS UNEDO FRUIT EXTRACT;ANTIOXIDANT, SKIN CONDITIONING
90878;ARBUTUS UNEDO LEAF CELL EXTRACT;ANTIOXIDANT, SKIN PROTECTING
54569;ARBUTUS UNEDO LEAF EXTRACT;SKIN CONDITIONING
96162;ARBUTUS UNEDO LEAF WATER;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT
88731;ARCTIGENIN;ANTIOXIDANT
90080;ARCTIIN;ANTIOXIDANT
54570;ARCTIUM LAPPA FRUIT EXTRACT;ANTIOXIDANT, SKIN CONDITIONING
90560;ARCTIUM LAPPA LEAF EXTRACT;SKIN CONDITIONING
54571;ARCTIUM LAPPA ROOT EXTRACT;SKIN CONDITIONING
54572;ARCTIUM LAPPA ROOT POWDER;SKIN CONDITIONING
54573;ARCTIUM LAPPA SEED EXTRACT;HAIR CONDITIONING, SKIN CONDITIONING
74311;ARCTIUM LAPPA SEED OIL;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT
84151;ARCTIUM LAPPA SEED WATER;SKIN CONDITIONING
54486;ARCTIUM MAJUS ROOT EXTRACT;SKIN CONDITIONING
83159;ARCTIUM MAJUS ROOT WATER;SKIN CONDITIONING
54487;ARCTIUM MINUS ROOT EXTRACT;SKIN CONDITIONING
54488;ARCTOSTAPHYLOS UVA URSI LEAF EXTRACT;SKIN CONDITIONING
54489;ARCTOSTAPHYLOS UVA URSI LEAF POWDER;BLEACHING, SKIN CONDITIONING
93736;ARCTOSTAPHYLOS UVA-URSI LEAF EXTRACT;SKIN CONDITIONING
93792;ARCTOSTAPHYLOS UVA-URSI LEAF POWDER;BLEACHING, SKIN CONDITIONING
85232;ARCTOSTAPHYLOS VISCIDA LEAF EXTRACT;HUMECTANT, SKIN CONDITIONING
88371;ARDISIA CRENATA EXTRACT ;SKIN CONDITIONING
88984;ARDISIA CRENATA LEAF EXTRACT ;SKIN CONDITIONING
83295;ARDISIA CRISPA EXTRACT;SKIN CONDITIONING
83755;ARDISIA JAPONICA BRANCH/LEAF EXTRACT ;SKIN CONDITIONING
54490;ARECA CATECHU SEED EXTRACT;SKIN CONDITIONING
88266;ARECA CATECHU SEED/EUGENIA CARYOPHYLLUS STEM EXTRACT ;SKIN CONDITIONING
91517;ARECA CATECHU SHELL EXTRACT;SKIN CONDITIONING
86375;ARENARIA KANSUENSIS LEAF/ROOT/STEM EXTRACT;HUMECTANT
95484;ARENARIA SERPYLLIFOLIA LEAF EXTRACT;SKIN CONDITIONING
88784;ARGAN OIL AMINOPROPANEDIOL ESTERS ;SKIN CONDITIONING
94518;ARGAN OIL GLYCERETH-8 ESTERS;CLEANSING, SKIN CONDITIONING - EMOLLIENT, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING
91123;ARGAN OIL ISOSTEARYL ESTERS;HAIR CONDITIONING, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT
54491;ARGAN OIL PEG-8 ESTERS;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING
54492;ARGAN OIL POLYGLYCERYL-6 ESTERS;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING
91803;ARGANIA SPINOSA CALLUS CULTURE EXTRACT;SKIN CONDITIONING
93100;ARGANIA SPINOSA CALLUS EXTRACT;ANTIMICROBIAL, ANTIOXIDANT, HAIR CONDITIONING, HUMECTANT, SKIN PROTECTING
54493;ARGANIA SPINOSA EXTRACT;SKIN CONDITIONING
91122;ARGANIA SPINOSA FRUIT EXTRACT;SKIN CONDITIONING
84164;ARGANIA SPINOSA FRUIT UNSAPONIFIABLES;SKIN CONDITIONING - EMOLLIENT
54494;ARGANIA SPINOSA KERNEL EXTRACT;SKIN CONDITIONING
54495;ARGANIA SPINOSA KERNEL OIL;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT
88835;ARGANIA SPINOSA KERNEL OIL/HYDROGENATED ARGANIA SPINOSA KERNEL OIL ESTERS ;HUMECTANT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT
84373;ARGANIA SPINOSA LEAF CELL EXTRACT;SKIN CONDITIONING
54496;ARGANIA SPINOSA LEAF EXTRACT;SKIN CONDITIONING
97602;ARGANIA SPINOSA SEEDCAKE;SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT
93311;ARGANIA SPINOSA SEEDCAKE EXTRACT;HUMECTANT
83323;ARGANIA SPINOSA SHELL POWDER;ABRASIVE
84374;ARGANIA SPINOSA SPROUT CELL EXTRACT;SKIN CONDITIONING
93081;ARGEMONE MEXICANA CALLUS EXTRACT;ANTIOXIDANT
31979;ARGEMONE MEXICANA SEED OIL;HAIR CONDITIONING, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT
31980;ARGILLA;ABRASIVE, BULKING, HUMECTANT
54497;ARGILLA EXTRACT;SKIN CONDITIONING
74314;ARGININE;ANTISTATIC, FRAGRANCE, HAIR CONDITIONING, SKIN CONDITIONING
95595;ARGININE AMINOPHOSPHONOBUTYRIC ACID;ANTIOXIDANT, ANTIPLAQUE, HAIR CONDITIONING, NAIL CONDITIONING, SKIN CONDITIONING - EMOLLIENT
31982;ARGININE ASPARTATE;HAIR CONDITIONING, SKIN CONDITIONING
54498;ARGININE BICARBONATE;ORAL CARE
31983;ARGININE COCOATE;SKIN CONDITIONING
54499;ARGININE DNA;SKIN CONDITIONING
54500;ARGININE FERULATE;SKIN CONDITIONING
74317;ARGININE GLUTAMATE;HAIR CONDITIONING, SKIN CONDITIONING
31985;ARGININE HCL;SKIN CONDITIONING
74319;ARGININE HEXYLDECYL PHOSPHATE;CLEANSING, SKIN CONDITIONING - EMOLLIENT, SURFACTANT - CLEANSING
95044;ARGININE LAURAMINOPROPIONATE;CLEANSING, SURFACTANT - CLEANSING, SURFACTANT - EMULSIFYING, SURFACTANT - FOAM BOOSTING
88099;ARGININE LAURETH SULFATE;CLEANSING, FOAMING, SURFACTANT - CLEANSING, SURFACTANT - FOAM BOOSTING
94107;ARGININE LAUROYL GLUTAMATE;CLEANSING, FOAMING, SURFACTANT - CLEANSING
94108;ARGININE LAUROYL GLYCINATE;CLEANSING, FOAMING, SURFACTANT - CLEANSING
90190;ARGININE LAUROYL METHYL BETA-ALANINATE;CLEANSING, SURFACTANT - CLEANSING
98232;ARGININE MANDELATE;NOT REPORTED
74320;ARGININE PCA;HUMECTANT, SKIN CONDITIONING
88100;ARGININE PEG-4 COCAMIDE SULFATE;CLEANSING, FOAMING, SURFACTANT - CLEANSING, SURFACTANT - FOAM BOOSTING
86675;ARGININE PORPHYRA YEZOENSIS EXTRACT;HAIR CONDITIONING, SKIN CONDITIONING
31988;ARGININE/LYSINE POLYPEPTIDE;SKIN CONDITIONING
94803;ARGINYL SH-PENTAPEPTIDE-7;SKIN PROTECTING
54501;ARGON;ANTIOXIDANT
83967;ARISAEMA AMURENSE EXTRACT;SKIN CONDITIONING
54502;ARISAEMA CONSANGUINEUM ROOT EXTRACT;SKIN CONDITIONING
88556;ARISTOTELIA CHILENSIS FRUIT EXTRACT;SKIN CONDITIONING
87244;ARISTOTELIA CHILENSIS FRUIT JUICE;ANTIOXIDANT
90836;ARISTOTELIA CHILENSIS LEAF EXTRACT;SKIN CONDITIONING
95841;ARISTOTELIA CHILENSIS SEED OIL;HUMECTANT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT
90814;ARMERIA ALPINA LEAF CELL EXTRACT;ANTIOXIDANT, SKIN PROTECTING
90890;ARMERIA MARITIMA EXTRACT;SKIN CONDITIONING
54503;ARMERIA MARITIMA FLOWER/LEAF/STEM EXTRACT;SKIN CONDITIONING
97394;ARMILLARIA MELLEA EXTRACT;SKIN CONDITIONING
97585;ARMILLARIA MELLEA FERMENT FILTRATE;SKIN CONDITIONING
97584;ARMILLARIA MELLEA MYCELIUM EXTRACT;SKIN CONDITIONING
93962;ARNEBIA EUCHROMA ROOT EXTRACT;ANTIMICROBIAL
54504;ARNICA CHAMISSONIS FLOWER EXTRACT;FRAGRANCE, SKIN CONDITIONING
93117;ARNICA MONTANA EXTRACT;SKIN CONDITIONING
54505;ARNICA MONTANA FLOWER;SKIN CONDITIONING
74322;ARNICA MONTANA FLOWER EXTRACT;FRAGRANCE, PERFUMING, SKIN CONDITIONING
39192;ARNICA MONTANA FLOWER OIL;PERFUMING
54506;ARNICA MONTANA FLOWER WATER;SKIN CONDITIONING
31992;AROMA;FLAVOURING
86359;ARONIA ARBUTIFOLIA EXTRACT;HAIR CONDITIONING, SKIN CONDITIONING
86360;ARONIA ARBUTIFOLIA FRUIT EXTRACT;SKIN CONDITIONING
96710;ARONIA MELANOCARPA CALLUS EXTRACT;ANTIOXIDANT, HAIR CONDITIONING, SKIN PROTECTING
