COSING Ref No;INCI name;Function
97108; CANDIDA (LEITE CONDENSADO/ROBUSTA/UTILIS)/ DEBARYOMYCES/LACTOBACILLUS/LEUCONOSTOC/PICHIA/SACCHAROMYCES/STREPTOCOCCUS (CREMORIS/FAECALIS/LACTIS/THERMOPHILUS)/ TORULASPORA DELBRUECKII/ZYGOSACCHAROMYCES EXTRATO DE FERMENTO;ANTIMICROBIANO, CUIDADOS BUCAIS
88013;CANDIDA ALBICANS/EXTRATO DE FERMENTO DE BULBO DE FRITILLARIA VERTICILLATA;CONDICIONAMENTO DA PELE
98585;CANDIDA BOMBICOLA/(IRVINGIA GABONENSIS KERNEL/(GARCINIA INDICA/MANGO/SHOREA ROBUSTA/SHOREA STENOPTERA/CACAU/THEOBROMA GRANDIFLORUM)SEMENTE/KARITÉ/ABACATE/JOJOBA) FILTRADO DE FERMENTO DE MANTEIGA;EMULSÃO ESTABILIZANTE, CONDICIONADOR CAPILAR, CONDICIONADOR DA PELE - EMOLIENTE, PROTETOR DA PELE
93630;CANDIDA BOMBICOLA/(OLIVEIRA/SEMENTE DE GIRASSOL/CAROÇO DE DAMASCO/AMÊNDOA DOCE) EXTRATO DE FERMENTO FILTRADO;EMULSÃO ESTABILIZANTE, CONDICIONADOR CAPILAR, PROTETOR DA PELE
98521;CANDIDA BOMBICOLA/BUTYROSPERMUM PARKII MANTEIGA FERMENTADA FILTRADA;EMULSÃO ESTABILIZANTE, CONDICIONADOR CAPILAR, CONDICIONADOR PELE, CONDICIONADOR PELE - EMOLIENTE, PROTETOR PELE
98734;CANDIDA BOMBICOLA/CAMELLIA JAPONICA SEED OIL EXTRACT FILTRATE FERMENT;ANTI-SEBO, ANTIMICROBIANO, CONDICIONADOR CAPILAR, CUIDADO BUCAL, CONSERVANTE, CONDICIONADOR DA PELE - DIVERSOS, SURFACTANTE - LIMPEZA, SURFACTANTE - SOLUBILIZANTE
97282;CANDIDA BOMBICOLA/EXTRATO DE FERMENTO DE ÓLEO DE CANOLA;ANTI-SEBORREICO, ANTI-SEBO, ANTIMICROBIANO, CONSERVANTE, SURFACTANTE - LIMPEZA
96322;CANDIDA BOMBICOLA/ÓLEO DE CANOLA/EXTRATO DE FILTRADO DE FERMENTO DE FARELO DE ARROZ;ANTI-SEBO, ANTIMICROBIANO, SURFACTANTE - LIMPEZA
94817;CANDIDA BOMBICOLA/GLICOSE/FRUTA/FOLHA DE CAMELLIA SINENSIS/RAIZ DE CURCUMA/FILTRADO DE FERMENTO DE ÓLEO;EMULSÃO ESTABILIZANTE, CONDICIONADOR CAPILAR, UMECTANTE, CONDICIONADOR DA PELE, CONDICIONADOR DA PELE - EMOLIENTE, PROTETOR DA PELE
55061;CANDIDA BOMBICOLA/GLUCOSE/FERMENTO DE METIL COLZA;ANTI-SEBO, ANTIMICROBIANO, LIMPEZA, DESODORANTE, PROTETOR DA PELE, SURFACTANTE - LIMPEZA
85970;CANDIDA BOMBICOLA/GLUCOSE/EXTRATO DE FERMENTO DE ÓLEO DE COLZA;CONDICIONAMENTO DA PELE
94815; FILTRADO DE FERMENTO DE ÓLEO DE GÉRMEN DE ARROZ/CANDIDA BOMBICOLA/GLUCOSE;EMULSÃO ESTABILIZANTE, CONDICIONADOR CAPILAR, HUMECTANTE, CONDICIONADOR DA PELE - EMOLIENTE, PROTETOR DA PELE
91773; EXTRATO DE FERMENTO DE ÓLEO DE SEMENTE DE CANDIDA BOMBICOLA/MADHUCA LONGIFOLIA;LIMPEZA, SURFACTANTE - LIMPEZA
91153;CANDIDA BOMBICOLA/EXTRATO DE FERMENTO DE ÓLEO DE SEMENTE DE COLZA;CONDICIONAMENTO DA PELE
32384;CANDIDA BOMBICOLA/SACROSE/FERMENTO DE ÉSTER ÁCIDO VEGETAL;CONDICIONAMENTO DA PELE
91296;CANDIDA TSUKUBAENSIS/ÓLEO DE SEMENTE DE ARGANIA SPINOSA/ÓLEO DE OLIVEIRA/(ADANSONIA DIGITATA/CAMELLIA SINENSIS/ORBIGNYA OLEIFERA/CALOPHYLLUM INOPHYLLUM) ÓLEO DE SEMENTE/PHASEOLUS RADIATUS EXTRATO DE SEMENTE FILTRADO DE FERMENTO;EMULSÃO ESTABILIZANTE, CONDICIONADOR CAPILAR, CONDICIONADOR PELE, PROTETOR PELE
91264;CANDIDA TSUKUBAENSIS/ÓLEO DE AZEITONA/(ADANSONIA DIGITATA/ORBIGNYA OLEIFERA/CALOPHYLLUM INOPHYLLUM) ÓLEO DE SEMENTE/EXTRATO DE SEMENTE DE PHASEOLUS RADIATUS EXTRATO DE FERMENTO;CONDICIONAMENTO DO CABELO, CONDICIONAMENTO DA PELE
96594; PAREDE CELULAR BENÉFICA DE CANDIDA;CONTROLE DE VISCOSIDADE
85001;FERMENTO DE CANDIDA/GARCINIA CAMBOGIA;NÃO RELATADO
83049;EXTRATO DE RIZOMA DE CANNA GENERALIS;HUMECTANTE
55063;EXTRATO DE RAIZ HÍBRIDO DE CANNA;UMECTANTE, CONDICIONADOR DA PELE
55064;EXTRATO DE RAIZ DE CANNA INDICA;CONDICIONAMENTO DA PELE
96287;CANABIDIOL - DERIVADO DE EXTRATO OU TINTURA OU RESINA DE CANNABIS;ANTI-SEBO, ANTIOXIDANTE, CONDICIONADOR DA PELE, PROTETOR DA PELE
93486;CANABIDIOL - PRODUZIDO SINTETICAMENTE;ANTI-SEBO, ANTIOXIDANTE, CONDICIONADOR DA PELE, PROTETOR DA PELE
98212;CANABIGEROL;CONDICIONAMENTO DA PELE
98211;CANABINOIDES;CONDICIONAMENTO DA PELE, CONDICIONAMENTO DA PELE - EMOLIENTE
98213; CANABINOL;CONDICIONAMENTO DA PELE
96783;EXTRATO DE LISADO DE CULTURA DE CALOS DE CANNABIS SATIVA;CONDICIONAMENTO DO CABELO, CONDICIONAMENTO DA PELE
97173;EXTRATO DE CALOS DE CANNABIS SATIVA;ANTIOXIDANTE
97387;LISADO DE CALOS DE CANNABIS SATIVA;CONDICIONAMENTO DA PELE
98253;EXTRATO DE CANNABIS SATIVA;ANTI-SEBO, ANTIMICROBIANO, ANTIOXIDANTE, PROTETOR DA PELE
96217;EXTRATO DE FLOR DE CANNABIS SATIVA;CONDICIONAMENTO DA PELE, CONDICIONAMENTO DA PELE - EMOLIENTE
98051;EXTRATO DE FLOR/FOLHA DE CANNABIS SATIVA;ANTI-SEBO
95512;EXTRATO DE FLOR/FOLHA/CAULE DE CANNABIS SATIVA;ANTI-SEBO, ANTIOXIDANTE, CONDICIONADOR DA PELE, PROTETOR DA PELE
98674;ÓLEO DE FLOR/FOLHA/CAULE DE CANNABIS SATIVA;ANTIMICROBIANO, ANTIOXIDANTE, CONDICIONADOR DA PELE - DIVERSOS
97591;ÁGUA DE FLOR/FOLHA/CAULE DE CANNABIS SATIVA;CONDICIONAMENTO DO CABELO, CONDICIONAMENTO DA PELE
97599;EXTRATO DE FOLHA DE CANNABIS SATIVA;CONDICIONAMENTO DA PELE, CONDICIONAMENTO DA PELE - EMOLIENTE
98000;FOLHA/CAULE DE CANNABIS SATIVA;CONDICIONAMENTO DO CABELO, CONDICIONAMENTO DA PELE
96790;ÁGUA DE FOLHA/CAULE DE CANNABIS SATIVA;CONDICIONAMENTO DO CABELO, CONDICIONAMENTO DA PELE
83414;EXTRATO DE SEMENTE DE CANNABIS SATIVA;CONDICIONAMENTO DA PELE - EMOLIENTE
55065;ÓLEO DE SEMENTE DE CANNABIS SATIVA;CONDICIONAMENTO DA PELE, CONDICIONAMENTO DA PELE - EMOLIENTE
87271;ÓLEO DE SEMENTE DE CANNABIS SATIVA ÉSTERES DE GLICERÉTRICA-8;EMULSÃO ESTABILIZANTE, CONDICIONADOR DA PELE - EMOLIENTE
55066;ÓLEO DE SEMENTE DE CANNABIS SATIVA PEG-8 ÉSTERES;CONDICIONAMENTO DA PELE, CONDICIONAMENTO DA PELE - EMOLIENTE, SURFACTANTE - LIMPEZA, SURFACTANTE - EMULSIONANTE
98631;OLEOSSOMOS DE SEMENTES DE CANNABIS SATIVA;ESTABILIZADOR DE EMULSÃO
97009;ÁGUA DE SEMENTE DE CANNABIS SATIVA;CONDICIONAMENTO DO CABELO, CONDICIONAMENTO DA PELE
92883;BOLO DE SEMENTES DE CANNABIS SATIVA;ABRASIVO, CONDICIONADOR DA PELE
85312;PÓ DE SEMENTES DE CANNABIS SATIVA;ABRASIVO
97601;BROTO DE CANNABIS SATIVA;CONDICIONAMENTO DA PELE
97707;EXTRATO DE BROTO DE CANNABIS SATIVA;ANTIOXIDANTE, CONDICIONADOR CAPILAR, CONDICIONADOR PELE
97198;EXTRATO DE CAULE DE CANNABIS SATIVA;UMECTANTE, CONDICIONADOR DA PELE
87272;PÓ DE CAULE DE CANNABIS SATIVA;CONDICIONAMENTO DA PELE
98360;ÓLEO DE SEMENTE DE CANNABIS DÍMERO ÉSTERES DE DILINOLEILA/DÍMERO COPOLÍMERO DE DILINOLEATO;LIGAÇÃO, FORMADOR DE FILME, CONDICIONADOR DA PELE, PROTEÇÃO DA PELE, MODIFICADOR DE SUPERFÍCIE
98484;CANABISAMIDOPROPIL HIDROXISULTAÍNA; CONDICIONADOR DA PELE, SURFACTANTE - LIMPEZA, SURFACTANTE - EMULSIONANTE, SURFACTANTE - AUMENTO DA ESPUMA, CONTROLE DA VISCOSIDADE
74796;ÓLEO DE CANOLA;CONDICIONAMENTO DA PELE, CONDICIONAMENTO DA PELE - EMOLIENTE
96677;ÉSTERES ETÍLICOS DE ÓLEO DE CANOLA;CONDICIONAMENTO DA PELE, CONDICIONAMENTO DA PELE - EMOLIENTE, PROTEÇÃO DA PELE
74797;GLICERÍDEO DE ÓLEO DE CANOLA;CONDICIONAMENTO DA PELE, CONDICIONAMENTO DA PELE - EMOLIENTE, SURFACTANTE - LIMPEZA, SURFACTANTE - EMULSIONANTE
55067;INSAPONIFICÁVEIS DO ÓLEO DE CANOLA;CONDICIONAMENTO DO CABELO, CONDICIONAMENTO DA PELE
55068;ESTERÓIS DE CANOLA;CONDICIONAMENTO DA PELE, CONDICIONAMENTO DA PELE - EMOLIENTE
74798;CANOLAMIDOPROPIL BETAÍNA;ANTIESTÁTICO, LIMPEZA, ESPUMA, CONDICIONADOR CAPILAR, CONDICIONADOR PELE, SURFACTANTE - LIMPEZA, SURFACTANTE - AUMENTO DE ESPUMA, CONTROLE DE VISCOSIDADE
32389;ETOSSULFATO DE CANOLAMIDOPROPIL ETILDIMÔNIO;ANTIESTÁTICO, CONDICIONADOR CAPILAR
90825; EXTRATO ALIMENTAR DE CHANTHARELUS;CONDICIONAMENTO DA PELE
92719;ALOÉ DO CABO;CONDICIONAMENTO DA PELE
96654; EXTRATO DE FOLHA DE CAPPARIS MITCHELLII;CONDICIONAMENTO DA PELE
55069; EXTRATO DE FRUTA CAPPARIS MOONII;ANTIMICROBIANO, ANTIOXIDANTE
94959; EXTRATO DE BOTÃO DE CAPPARIS PORNOSA;CONDICIONAMENTO DA PELE
96459; BOTÃO DE CAPPARIS SPINOSA/FOLHA DE MORUS NIGRA/RAIZ DE RHODIOLA ROSEA;ANTIOXIDANTE, PROTETOR DA PELE
94942;EXTRATO DE FLOR DE CAPPARIS SPINOSA;CONDICIONAMENTO DA PELE
55070; EXTRATO DE FRUTA DE CAPPARIS PORNOSA;CONDICIONAMENTO DA PELE
32391; MANTEIGA DE CABRA;CONDICIONAMENTO DA PELE, CONDICIONAMENTO DA PELE - EMOLIENTE
87435; GORDURA DE CABRA;CONDICIONAMENTO DA PELE
32392; LEITE DE CABRA;CONDICIONAMENTO DA PELE
87434; EXTRATO DE LEITE DE CABRA;NÃO RELATADO
32393;CAPRAMIDA DEA;ANTIESTÁTICO, CONDICIONADOR CAPILAR, SURFACTANTE - LIMPEZA, SURFACTANTE - AUMENTO DA ESPUMA, CONTROLE DA VISCOSIDADE
88229; METOSULFATO DE CAPRAMIDOETIL CAPRAMIDOPILDIMÔNIO;ANTIMICROBIANO, ANTIESTÁTICO, LIMPEZA, DESODORANTE, CONDICIONADOR CAPILAR, SURFACTANTE - LIMPEZA
74803;ÁCIDO CÁPRICO;LIMPEZA, FRAGRÂNCIA, PERFUMARIA, SURFACTANTE - LIMPEZA, SURFACTANTE - EMULSIONANTE
93536;CÁPRICO/LÁURICO/MIRÍSTICO/AMIDOPROPIL BETAÍNA OLEICA;LIMPEZA, SURFACTANTE - LIMPEZA
91799; TRIGLICÉRIDO CÁPRICO/LÁURICO/MIRÍSTICO/OLEICO;CONDICIONAMENTO DA PELE, CONDICIONAMENTO DA PELE - EMOLIENTE, PROTEÇÃO DA PELE
96994;GLICERÍDEOS CÁPRICOS/PCA;ANTIESTÁTICO, CONDICIONADOR CAPILAR, SURFACTANTE - LIMPEZA, SURFACTANTE - EMULSIONANTE, SURFACTANTE - AUMENTO DE ESPUMA
74804;ÁCIDO CAPRÓICO;LIMPEZA, FRAGRÂNCIA, PERFUMARIA, SURFACTANTE - LIMPEZA, SURFACTANTE - EMULSIONANTE
97428;CAPROLACTAMA;NÃO RELATADO
85475;CAPROOIL FITOESFINGOSINA;CONDICIONAMENTO DO CABELO, CONDICIONAMENTO DA PELE
85474;CAPROOIL ESFINGOSINAS;CONDICIONAMENTO DO CABELO, CONDICIONAMENTO DA PELE
85456;CAPROOIL TETRAPEPTÍDEO-3;PROTEÇÃO DA PELE
94578;CAPROOIL TETRAPEPTÍDEO-3 AMIDA;CONDICIONAMENTO DA PELE
98429;COPOLÍMERO DE ÁCIDO CÍTRICO CAPROÍLICO/PROPILENOGLICOL/ÁCIDO SUCCÍNICO;VINCULATIVO
90425;CAPROIL DIPEPTÍDEO-21 AMIDA;ANTIOXIDANTE, CONDICIONADOR DA PELE, PROTETOR DA PELE
32396;CAPROIL ETIL GLUCOSÍDEO;LIMPEZA, SURFACTANTE - LIMPEZA
32397;CAPROIL ESFINGOSINAS;CONDICIONAMENTO DO CABELO, CONDICIONAMENTO DA PELE
55071;CAPROIL TIROSINA;CONDICIONAMENTO DA PELE
98356;SEMENTE DE CAPRYL CANNABIS;CONDICIONADOR DE PELE, MODIFICADOR DE DESLIZAMENTO, MODIFICADOR DE SUPERFÍCIE
83209;CAPRIL DIMETICONE;CONDICIONAMENTO DA PELE - EMOLIENTE
85637;CAPRYL ESCHERICHIA COLI/EXTRATO DE SEMENTE DE MILHO/FILTRADO DE FERMENTO DE GLICOSE;CONDICIONAMENTO DA PELE, CONDICIONAMENTO DA PELE - EMOLIENTE
32398;CAPRIL HIDROXIETIL IMIDAZOLINA;ANTIESTÁTICO, CONDICIONADOR CAPILAR
91956; SULTÃO CAPRYL;LIMPEZA, SURFACTANTE - LIMPEZA
32399;CAPRIL/CAPRAMIDOPROPIL BETAÍNA;ANTIESTÁTICO, LIMPEZA, CONDICIONADOR CAPILAR, CONDICIONADOR PELE, SURFACTANTE - LIMPEZA, SURFACTANTE - AUMENTO DE ESPUMA, CONTROLE DE VISCOSIDADE
89049;CAPRIL/LAURIL FARELO DE TRIGO/PALHA GLICOSÍDEOS;LIMPEZA, ESTABILIZADOR DE LUZ, SURFACTANTE - LIMPEZA, SURFACTANTE - EMULSIONANTE, SURFACTANTE - AUMENTO DE ESPUMA, CONTROLE DE VISCOSIDADE
95041;CAPRILAMIDA MEA;ANTIOXIDANTE, CONDICIONADOR DA PELE, CONDICIONADOR DA PELE - EMOLIENTE, PROTETOR DA PELE, SURFACTANTE - LIMPEZA, SURFACTANTE - EMULSIONANTE
74809;CAPRILETE-4;SURFACTANTE - LIMPEZA, SURFACTANTE - EMULSIONANTE
74810;ÁCIDO CAPRILET-4 CARBOXÍLICO;LIMPEZA, SURFACTANTE - LIMPEZA, SURFACTANTE - EMULSIONANTE
55072;CAPRILETE-5;SURFACTANTE - LIMPEZA, SURFACTANTE - EMULSIONANTE
74811;ÁCIDO CARBOXÍLICO CAPRILET-6;LIMPEZA, SURFACTANTE - LIMPEZA, SURFACTANTE - EMULSIONANTE
74812;ÁCIDO CAPRILET-9 CARBOXÍLICO;LIMPEZA, SURFACTANTE - LIMPEZA, SURFACTANTE - EMULSIONANTE
86262;ÁCIDO CAPRILO-HIDROXÂMICO;QUELANTE
74813;ÁCIDO CAPRÍLICO;LIMPEZA, FRAGRÂNCIA, PERFUMARIA, SURFACTANTE - LIMPEZA, SURFACTANTE - EMULSIONANTE
74815;GLICERÍDEOS CAPRÍLICOS/CÁPRICOS;CONDICIONADOR DE PELE, CONDICIONADOR DE PELE - EMOLIENTE, SURFACTANTE - EMULSIONANTE
92822;ÉSTERES DE POLIGLICERIL-10 DE GLICERÍDEOS CAPRÍLICOS/CÁPRICOS;EMULSÃO ESTABILIZANTE, CONDICIONADOR DA PELE, CONDICIONADOR DA PELE - EMOLIENTE, SURFACTANTE - LIMPEZA, SURFACTANTE - EMULSIONANTE
74816; TRIGLICÉRIDO CAPRÍLICO/CAPRICO;FRAGRÂNCIA, PERFUMARIA, CONDICIONAMENTO DA PELE
74817;ÉSTERES DE TRIGLICERÍDEO PEG-4 CAPRÍLICO/CÁPRICO;CONDICIONAMENTO DA PELE, CONDICIONAMENTO DA PELE - EMOLIENTE, SURFACTANTE - LIMPEZA, SURFACTANTE - EMULSIONANTE
86818;ÉSTERES DE EXTRATO DE FOLHA CAPRÍLICO/CAPRICO/CAMELLIA SINENSIS;ANTIOXIDANTE, HUMECTANTE, CONDICIONADOR DA PELE, CONDICIONADOR DA PELE - EMOLIENTE, PROTETOR DA PELE
55074;GLICERÍDEOS CAPRÍLICOS/CAPRICOS/COCO;CONDICIONAMENTO DA PELE, CONDICIONAMENTO DA PELE - EMOLIENTE
74818; TRIGLICÉRIDO CAPRÍLICO/CÁPRICO/LÁURICO;CONDICIONAMENTO DA PELE
74846;TRIGLICERÍDEO CAPRÍLICO/CAPRICO/LINOLEICO;CONDICIONAMENTO DA PELE, CONDICIONAMENTO DA PELE - EMOLIENTE
74847; TRIGLICÉRIDO CAPRÍLICO/CAPRICO/MIRÍSTICO/ESTEÁRICO;CONDICIONAMENTO DA PELE, CONDICIONAMENTO DA PELE - EMOLIENTE, PROTEÇÃO DA PELE
88654; TRIGLICÉRIDO CAPRÍLICO/CAPRICO/PALMÍTICO/ESTEÁRICO;CONDICIONAMENTO DA PELE
74848;TRIGLICERÍDEO CAPRÍLICO/CAPRICO/ESTEÁRICO;CONDICIONAMENTO DA PELE
74849;TRIGLICERÍDEO CAPRÍLICO/CAPRICO/SUCCÍNICO;CONDICIONADOR DE PELE, CONDICIONADOR DE PELE - EMOLIENTE, SURFACTANTE - EMULSIONANTE
96995;GLICERÍDEOS CAPRÍLICOS/PCA;ANTIESTÁTICO, CONDICIONADOR CAPILAR, SURFACTANTE - EMULSIONANTE, SURFACTANTE - AUMENTADOR DE ESPUMA
91612;CAPRILOIL CARNOSINA;CONDICIONAMENTO DA PELE
74850;AMINOÁCIDOS DE COLÁGENO CAPRILOIL;ANTIESTÁTICO, LIMPEZA, CONDICIONADOR CAPILAR, SURFACTANTE - LIMPEZA
91155;CAPRILOIL DIPEPTÍDEO-17;CONDICIONAMENTO CAPILAR, CONDICIONAMENTO PELE, CONDICIONAMENTO PELE - EMOLIENTE, PROTETOR PELE
97429;CAPRILOIL GLICERINA;NÃO RELATADO
87273;COPOLÍMERO DE CAPRILOIL GLICERINA/ÁCIDO SEBÁCICO;FORMADOR DE FILME, CONDICIONAMENTO DO CABELO, CONDICIONAMENTO DA PELE, PROTEÇÃO DA PELE
74851;CAPRILOIL GLICINA;LIMPEZA, CONDICIONAMENTO CAPILAR, SURFACTANTE - LIMPEZA
85534;AMINOÁCIDOS CAPRYLOYL GOLD OF PLEASURE;DESODORANTE
89318;CAPRILOIL HEPTAPEPTÍDEO-12;CONDICIONAMENTO DA PELE
94627;CAPRILOIL HEPTAPEPTÍDEO-33;ANTI-SEBO, ANTIMICROBIANO, ANTIOXIDANTE, CONDICIONADOR DA PELE
98064;CAPRILOIL HEXAPEPTÍDEO-74 D-METIONINA AMIDA;ANTI-SEBO, ANTIMICROBIANO, ANTIOXIDANTE, CONDICIONADOR DA PELE
74852;COLÁGENO HIDROLISADO DE CAPRILOIL;ANTIESTÁTICO, CONDICIONADOR CAPILAR
74853;QUERATINA HIDROLISADA DE CAPRILOIL;ANTIESTÁTICO, LIMPEZA, CONDICIONADOR CAPILAR, CONDICIONADOR PELE, SURFACTANTE - LIMPEZA
74854;AMINOÁCIDOS DE CAPRILOIL QUERATINA;ANTIESTÁTICO, LIMPEZA, CONDICIONADOR CAPILAR, SURFACTANTE - LIMPEZA
89242;CAPRILOIL METIONINA/AMINOÁCIDOS DA SEDA ÉSTERES METÍLICOS;CONDICIONAMENTO DE CABELO, CONDICIONAMENTO DE UNHAS
95000;CAPRILOIL OCTAPEPTÍDEO-33 D-METIONINA;ANTI-SEBO, ANTIMICROBIANO, ANTIOXIDANTE, CONDICIONADOR DA PELE
32419;AMINOÁCIDOS DE ERVILHA CAPRILOIL;CONDICIONAMENTO DO CABELO, CONDICIONAMENTO DA PELE
87274;CAPRILOIL PENTAPEPTÍDEO-26;CONDICIONAMENTO DA PELE
32420;AMINOÁCIDOS DE CAPRILOIL QUINOA;CONDICIONAMENTO DO CABELO, CONDICIONAMENTO DA PELE
32421;ÁCIDO CAPRILOIL SALICÍLICO;CONDICIONAMENTO DA PELE
96138;CAPRILOIL SARCOSINA;ANTI-SEBO, CONSERVANTE
55134;CAPRILOIL SERINA/AMINOÁCIDO DA SEDA METÍLICO ÉSTERES;CONDICIONAMENTO DO CABELO, CONDICIONAMENTO DA PELE
95714;CAPRILOIL SH-NONAPEPTÍDEO-6;CONDICIONAMENTO DA PELE
32422;AMINOÁCIDOS DE SEDA CAPRILOIL;LIMPEZA, CONDICIONAMENTO CAPILAR, SURFACTANTE - LIMPEZA
94999;CAPRILOIL TETRAPEPTÍDEO-60 NORLEUCIL TIROSIL D-METIONINA;ANTI-SEBO, ANTIMICROBIANO, ANTIOXIDANTE, CONDICIONADOR DA PELE
98164;CAPRILOIL/CAPROIL ANIDROMETIL GLUCAMIDA;SOLVENTE, SURFACTANTE - LIMPEZA
93168;CAPRILOIL/CAPROILMETIL GLUCAMIDA;CONDICIONADOR DA PELE, SURFACTANTE - LIMPEZA, SURFACTANTE - EMULSIONANTE, SURFACTANTE - AUMENTO DA ESPUMA
93169;CAPRILOILOXIPALMITAMIDA MEA;CONDICIONADOR DA PELE, CONDICIONADOR DA PELE - EMOLIENTE, PROTETOR DA PELE, SURFACTANTE - LIMPEZA, SURFACTANTE - EMULSIONANTE
89479;CAPRILIL 2-GLICERIL ASCORBATO;ANTIOXIDANTE, HUMECTANTE
89478;CAPRILIL 3-GLICERIL ASCORBATO;ANTIOXIDANTE, HUMECTANTE
74814;ÁLCOOL CAPRÍLICO;FRAGRÂNCIA, PERFUMARIA
74859;BUTIRATO DE CAPRILO;FRAGRÂNCIA, PERFUMARIA, CONDICIONAMENTO DA PELE
86714;CAPRILATO DE CAPRILATO;CONDICIONAMENTO DA PELE - EMOLIENTE
89985;CAPRILATO DE CAPRILATO/CAPRATO;CONDICIONAMENTO DA PELE, CONDICIONAMENTO DA PELE - EMOLIENTE
55136;CAPRILIL DIMETICONE ETOXI GLUCOSÍDEO;EMULSÃO ESTABILIZANTE, SURFACTANTE - LIMPEZA, SURFACTANTE - EMULSIFICANTE
55137;EICOSENOATO DE CAPRILA;CONDICIONAMENTO DA PELE
92290;GALATO DE CAPRILATO;ANTIOXIDANTE
55138;CAPRILIL GLUCOSÍDEO;LIMPEZA, SURFACTANTE - LIMPEZA
55139;ÉTER CAPRÍLICO GLICERÍLICO;LIMPEZA, SURFACTANTE - LIMPEZA, SURFACTANTE - AUMENTO DA ESPUMA
74860;CAPRILIL GLICOL;DESODORANTE, CONDICIONADOR CAPILAR, CONDICIONADOR PELE, CONDICIONADOR PELE - EMOLIENTE
90362;CAPRILIL GLICOL LINHAÇA;ANTIMICROBIANO
55140;COPOLÍMERO DE CAPRYLIL GLICOL/GLICERINA/ÁCIDO POLIACRÍLICO;UMECTANTE, CONDICIONADOR DE PELE, CONDICIONADOR DE PELE - EMOLIENTE
95241;CAPRILIL HIDROXIBUTIRÂMIDA;CONDICIONAMENTO CAPILAR, CONDICIONAMENTO PELE, CONDICIONAMENTO PELE - EMOLIENTE
32425;CAPRILIL HIDROXIETIL IMIDAZOLINA;ANTIESTÁTICO, CONDICIONADOR CAPILAR
89117;LAURIATO DE CAPRILATO;dentro
94871;CAPRILIL LAUROIL ARGININAMIDA HCL;ANTIPLAQUE
94872;SULFATO DE CAPRILIL LAUROIL ARGININAMIDA;ANTIPLAQUE
55141;CAPRILILMETICONE;CONDICIONAMENTO DA PELE
74862;CAPRILIL PIRROLIDONA;LIMPEZA, ESPUMA, CONDICIONAMENTO CAPILAR, SURFACTANTE - LIMPEZA
55142;CAPRILIL TRIMETICONE;CONDICIONAMENTO DA PELE
97046;CAPRILIL TRISILOXANO;CONDICIONAMENTO DA PELE
32427;CAPRILIL/CAPRIL GLUCÓSIDO;LIMPEZA, ESPUMA, SURFACTANTE - LIMPEZA
84687;CAPRILIL/CAPRIL FARELO DE TRIGO/GLICOSÍDEOS DE PALHA;LIMPEZA, ESTABILIZADOR DE EMULSÃO, SURFACTANTE - LIMPEZA, SURFACTANTE - EMULSIONANTE, SURFACTANTE - AUMENTO DE ESPUMA
89048;CAPRILIL/XILOSÍDEOS DE CAPRIL;dentro
83560;CLORETO DE CAPRILILALCÔNIO;CONDICIONAMENTO CAPILAR
93535;ÁCIDO CARBOXÍLICO CAPRYLYLOXYPHENYLAMINO DIMETILTETRAHIDRO BENZOTIAZINA;ANTIOXIDANTE, CONSERVANTE, PROTETOR DA PELE
74864;CAPSAICINA;FRAGRÂNCIA, CONDICIONAMENTO DA PELE
93899;CAPSAICINIL GLUCÓSIDES;HUMECTANTE
91156;CAPSAICINIL SUCCINOIL HEXAPEPTÍDEO-24 AMIDA;ANTIOXIDANTE, PROTETOR DA PELE
91157;CAPSAICINIL SUCCINOIL TRIPÉPTIDO-1;ANTIOXIDANTE, PROTETOR DA PELE
91159;CAPSAICINIL SUCCINOIL TRIPÉPTIDO-35;ANTIOXIDANTE, PROTETOR DA PELE
91158;CAPSAICINIL SUCCINOIL TRIPÉPTIDO-7;ANTIOXIDANTE, PROTETOR DA PELE
32428;CAPSANTINA/CAPSORUBINA;CORANTE
55143;EXTRATO DE CAPSELLA BURSA-PASTORIS;CONDICIONAMENTO DA PELE
84175;CAPSELLA BURSA-PASTORIS ÁGUA DE GRAMADO;ANTIOXIDANTE, PROTETOR DA PELE
86896; EXTRATO DE CULTURA DE CHAMADA ANUAL DA CÁPSULA;CONDICIONAMENTO DA PELE
74866; EXTRATO ANUAL DE CHIPPY;FRAGRÂNCIA, CONDICIONADOR DE PELE, TÔNICO
55144; EXTRATO ANUAL DE FRUTA CHIPPY;ANTI-SEBORREICO, ANTIMICROBIANO, ANTIOXIDANTE, ADSTRINGENTE, CONDICIONADOR CAPILAR, PROTETOR DA PELE
55145; OS CHIPS APROVEITAM ANUALMENTE O SUCO;CONDICIONAMENTO DA PELE
90786; A capsaicina de um ano se beneficia da célula do meristema;ANTIOXIDANTE, CONDICIONADOR DA PELE, PROTETOR DA PELE
55146; PÓ DE FRUTA CHIPPY ANUAL;CONDICIONAMENTO DA PELE
86895; EXTRATO ANUAL DE FOLHA DE CÁPSULA;CONDICIONAMENTO DA PELE
55147; RESINA CAPSI ANUAL;CONDICIONAMENTO DA PELE
91005;EXTRATO DE FRUTA CAPSICUM CHINENSE;ANTIMICROBIANO, ANTIOXIDANTE, ADSTRINGENTE
55148; APROVEITANDO A BUCHA DE CHIPPI;CONDICIONAMENTO DA PELE
55149; Extrato de fruta Capsicum;CONDICIONAMENTO DA PELE
